Symbol
MSFT
GOOGL
INTC
AAPL
QCOM
NVDA
TSLA
MU
CSCO
HON
GE
AMD
GM
F
JCI
FCX
APTV
XLNX
MXIM
BWA
ALB
WAB
GRMN
ETN
ADI
